feature,importance_mean,importance_std
dayofweek_lag_3,0.00273657001337928,0.0001911107099710376
Flotation Column 04 Air Flow,0.0018407334172342083,0.00020607358885970888
dayofweek_roll_mean_3,0.0014612882903147107,5.406053585995385e-05
Flotation Column 05 Air Flow,0.00134734239280494,0.00023024191778591832
Flotation Column 04 Air Flow_roll_mean_3,0.0005518692170373374,8.019399018820631e-05
% Silica Feed_lag_1,0.00037284127510028853,3.343072330268546e-05
Flotation Column 03 Level,0.0003646510058411323,5.023136370187682e-05
Ore Pulp Density,0.00030562049393165756,2.96662449965103e-05
Ore Pulp Density_roll_mean_3,0.0002926094797304213,3.14672113051186e-05
Flotation Column 05 Air Flow_roll_mean_3,0.00024851489060697676,6.213093059797092e-05
Flotation Column 05 Air Flow_lag_3,0.0002425790625682378,6.71465115487912e-05
Flotation Column 03 Level_lag_1,0.00019116260777791717,4.255454717452199e-05
Flotation Column 03 Level_lag_3,0.00016068410948717472,3.27894937780301e-05
Flotation Column 05 Air Flow_lag_1,0.00015533448153490781,8.138074562922303e-05
Flotation Column 05 Level_roll_mean_3,0.00014469711514881746,1.7468888165644203e-05
Flotation Column 04 Air Flow_lag_3,0.0001364692066932349,2.2294847794395596e-05
% Iron Feed_roll_mean_3,3.826358006104868e-05,3.132918483075552e-05
Ore Pulp Density_lag_3,2.4911329601762234e-05,2.456437614941234e-05
Flotation Column 01 Level_roll_mean_3,2.1983477005127484e-05,4.268434585865608e-06
Flotation Column 01 Level,1.4133991811560165e-05,4.404246815123173e-06
Flotation Column 02 Level_lag_1,1.205171087228507e-05,4.627437940919871e-06
Flotation Column 04 Level_lag_1,1.068233324041934e-05,7.086528337304719e-07
Starch Flow_lag_1,9.545907669217257e-07,2.836261821953159e-07
Flotation Column 01 Level_lag_1,4.959762187173312e-07,6.575486595943632e-07
Flotation Column 07 Level,2.1694779368530702e-07,4.338955873706141e-07
Flotation Column 02 Level_roll_mean_3,1.113110358108571e-07,7.147181797124347e-07
Flotation Column 06 Air Flow_lag_3,0.0,0.0
Flotation Column 07 Air Flow_lag_1,0.0,0.0
Flotation Column 01 Air Flow_lag_3,0.0,0.0
Flotation Column 01 Air Flow_lag_1,0.0,0.0
Flotation Column 07 Air Flow_lag_3,0.0,0.0
Flotation Column 03 Air Flow_lag_3,0.0,0.0
Amina Flow_lag_1,0.0,0.0
% Silica Feed_roll_std_3,0.0,0.0
Ore Pulp Flow_roll_std_3,0.0,0.0
Flotation Column 06 Level_lag_1,0.0,0.0
Flotation Column 06 Level_lag_3,0.0,0.0
Flotation Column 02 Air Flow_lag_3,0.0,0.0
Flotation Column 03 Air Flow_lag_1,0.0,0.0
Starch Flow_lag_3,0.0,0.0
Flotation Column 04 Level,0.0,0.0
Flotation Column 06 Air Flow,0.0,0.0
Flotation Column 06 Level,0.0,0.0
Flotation Column 02 Air Flow_lag_1,0.0,0.0
Flotation Column 05 Level,0.0,0.0
Starch Flow,0.0,0.0
Flotation Column 02 Level,0.0,0.0
Flotation Column 07 Air Flow,0.0,0.0
Flotation Column 03 Air Flow,0.0,0.0
Flotation Column 01 Air Flow,0.0,0.0
Flotation Column 02 Air Flow,0.0,0.0
dayofweek_roll_std_3,0.0,0.0
Flotation Column 07 Level_roll_std_3,0.0,0.0
Flotation Column 07 Air Flow_roll_mean_3,0.0,0.0
Flotation Column 03 Level_roll_std_3,0.0,0.0
Flotation Column 04 Level_roll_std_3,0.0,0.0
Flotation Column 04 Level_roll_mean_3,0.0,0.0
Flotation Column 05 Level_roll_std_3,0.0,0.0
Flotation Column 02 Level_roll_std_3,0.0,0.0
hour_roll_std_3,0.0,0.0
