hour,mean,std
0,2.219944162992,1.1428640745595722
1,2.2953654895307953,1.0729825393858838
2,2.2323264575144384,1.1009906477726246
3,2.303759690533944,1.100642767622383
4,2.3519235415578006,1.0738254187895193
5,2.310903923181465,1.140918740902037
6,2.256681670875918,1.1167660878140129
7,2.4668366209454247,1.1636759891113302
8,2.3128826421175948,1.1031979511697896
9,2.3742979123853303,1.158272623238613
10,2.5219559034623367,1.2317914303103747
11,2.3975661458077226,1.1662996262004688
12,2.371499501182703,1.151812051715243
13,2.383649577548973,1.1169059915075943
14,2.396248051452222,1.0947201238662037
15,2.2546999642659777,1.0742745467078647
16,2.4672237746098213,1.0731586296305844
17,2.306658748557427,1.0432711833859545
18,2.283666363763999,1.0996858119728667
19,2.2512733469258577,1.094442187142802
20,2.2385629246731287,1.1048020553867606
21,2.3406752551081675,1.143902382414271
22,2.31997158561129,1.2239269006728546
23,2.185272159549194,1.1273906978805728
