feature,corr_with_target,abs_corr
Flotation Column 01 Air Flow,-0.21915829359209543,0.21915829359209543
Flotation Column 03 Air Flow,-0.21889077890310124,0.21889077890310124
Flotation Column 05 Level,-0.1691697889695725,0.1691697889695725
Flotation Column 02 Air Flow,-0.16739750985224386,0.16739750985224386
Amina Flow,0.1567014067407957,0.1567014067407957
Flotation Column 04 Level,-0.14945575575461545,0.14945575575461545
Ore Pulp pH,-0.14773914057835605,0.14773914057835605
Flotation Column 07 Level,-0.14138716571573234,0.14138716571573234
Flotation Column 06 Level,-0.10244296388805033,0.10244296388805033
% Iron Feed,-0.07705226303386543,0.07705226303386543
% Silica Feed,0.07272412704345627,0.07272412704345627
Flotation Column 07 Air Flow,-0.0717756637335396,0.0717756637335396
Starch Flow,-0.06639362783357934,0.06639362783357934
Flotation Column 06 Air Flow,-0.049650368641948835,0.049650368641948835
Ore Pulp Density,0.046983515820086794,0.046983515820086794
Flotation Column 02 Level,0.030955327290571568,0.030955327290571568
Flotation Column 01 Level,0.01721725015618135,0.01721725015618135
Flotation Column 03 Level,0.014245715232633474,0.014245715232633474
Flotation Column 05 Air Flow,-0.009292647175163813,0.009292647175163813
dayofweek,0.009041119156620238,0.009041119156620238
Ore Pulp Flow,0.008221889588310112,0.008221889588310112
Flotation Column 04 Air Flow,-0.00501091598211102,0.00501091598211102
hour,-0.0037128725649853483,0.0037128725649853483
