exp_id,fold,rmse,mae,r2
model=ridge|params=alpha=1.0|impute=median|outlier=none|sampling=none|scale=True,1,0.7841157848001001,0.633037160639078,0.4741748902006204
model=ridge|params=alpha=1.0|impute=median|outlier=none|sampling=none|scale=True,2,0.7670514824793409,0.6207680851521505,0.49473850245690965
model=ridge|params=alpha=1.0|impute=median|outlier=none|sampling=none|scale=True,3,0.7731846778838106,0.6240131972896831,0.48745101441670813
model=ridge|params=alpha=1.0|impute=median|outlier=none|sampling=none|scale=True,4,0.7685107753527122,0.6212780577226457,0.49516114204947437
model=ridge|params=alpha=1.0|impute=median|outlier=none|sampling=none|scale=True,5,0.7818253200464883,0.6292592659159663,0.47725420103176375
model=ridge|params=alpha=1.0|impute=median|outlier=none|sampling=none|scale=True,0,1.1372797775187822,0.9516789596306047,-1.5218736004320172
"model=lightgbm|params=n_estimators=300,num_leaves=31,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=none|scale=False",1,0.04582334418704508,0.02646936903610188,0.9982042143797388
"model=lightgbm|params=n_estimators=300,num_leaves=31,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=none|scale=False",2,0.048214152321307865,0.025827072399098244,0.9980037439337656
"model=lightgbm|params=n_estimators=300,num_leaves=31,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=none|scale=False",3,0.05376197488983458,0.025114319308547,0.9975218971478105
"model=lightgbm|params=n_estimators=300,num_leaves=31,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=none|scale=False",4,0.04573736372225013,0.024174499783679377,0.9982118863838775
"model=lightgbm|params=n_estimators=300,num_leaves=31,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=none|scale=False",5,0.04539421424516893,0.02434599043763706,0.9982377314335492
"model=lightgbm|params=n_estimators=300,num_leaves=31,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=none|scale=False",0,0.8455923116471985,0.6431903466996508,-0.3941539479509433
"model=lightgbm|params=n_estimators=300,num_leaves=31,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=none|scale=True",1,0.04557727327484025,0.025898848068389328,0.9982234492976347
"model=lightgbm|params=n_estimators=300,num_leaves=31,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=none|scale=True",2,0.0483316681229625,0.02591872924447361,0.9979940008390888
"model=lightgbm|params=n_estimators=300,num_leaves=31,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=none|scale=True",3,0.05592567010218583,0.025670678160037146,0.9973184166944896
"model=lightgbm|params=n_estimators=300,num_leaves=31,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=none|scale=True",4,0.04595343498813244,0.02427706958677923,0.9981949517572645
"model=lightgbm|params=n_estimators=300,num_leaves=31,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=none|scale=True",5,0.04457558565711786,0.023952263437005718,0.9983007189884997
"model=lightgbm|params=n_estimators=300,num_leaves=31,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=none|scale=True",0,0.8399508218316116,0.6361800052113415,-0.37561340872327986
"model=lightgbm|params=n_estimators=300,num_leaves=31,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=target_bin_weighted|scale=False",1,0.04584630945714856,0.026572853390406284,0.9982024139421303
"model=lightgbm|params=n_estimators=300,num_leaves=31,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=target_bin_weighted|scale=False",2,0.047092655234721115,0.025415580634550607,0.9980955326402836
"model=lightgbm|params=n_estimators=300,num_leaves=31,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=target_bin_weighted|scale=False",3,0.05699482267827597,0.02626721293504932,0.997214906922578
"model=lightgbm|params=n_estimators=300,num_leaves=31,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=target_bin_weighted|scale=False",4,0.04563316211956095,0.024399610542294232,0.9982200246779044
"model=lightgbm|params=n_estimators=300,num_leaves=31,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=target_bin_weighted|scale=False",5,0.04576829804116613,0.0248417152663652,0.998208566817033
"model=lightgbm|params=n_estimators=300,num_leaves=31,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=target_bin_weighted|scale=False",0,0.849306677436298,0.6420645270593818,-0.4064288256302031
"model=lightgbm|params=n_estimators=300,num_leaves=31,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=target_bin_weighted|scale=True",1,0.04597812783287271,0.026052651319142896,0.9981920621591289
"model=lightgbm|params=n_estimators=300,num_leaves=31,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=target_bin_weighted|scale=True",2,0.04754951117271002,0.02609507685237841,0.9980584021123106
"model=lightgbm|params=n_estimators=300,num_leaves=31,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=target_bin_weighted|scale=True",3,0.05726526996712833,0.02661679570983825,0.9971884130096811
"model=lightgbm|params=n_estimators=300,num_leaves=31,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=target_bin_weighted|scale=True",4,0.045229977421353616,0.02409280970662102,0.9982513391167257
"model=lightgbm|params=n_estimators=300,num_leaves=31,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=target_bin_weighted|scale=True",5,0.0460924686461639,0.02494033046227606,0.9981830999930851
"model=lightgbm|params=n_estimators=300,num_leaves=31,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=target_bin_weighted|scale=True",0,0.8520289987175474,0.6432700554540843,-0.4154594560477516
"model=lightgbm|params=n_estimators=300,num_leaves=31,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=undersample_major_bins|scale=False",1,0.04582334418704508,0.02646936903610188,0.9982042143797388
"model=lightgbm|params=n_estimators=300,num_leaves=31,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=undersample_major_bins|scale=False",2,0.048214152321307865,0.025827072399098244,0.9980037439337656
"model=lightgbm|params=n_estimators=300,num_leaves=31,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=undersample_major_bins|scale=False",3,0.05376197488983458,0.025114319308547,0.9975218971478105
"model=lightgbm|params=n_estimators=300,num_leaves=31,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=undersample_major_bins|scale=False",4,0.04573736372225013,0.024174499783679377,0.9982118863838775
"model=lightgbm|params=n_estimators=300,num_leaves=31,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=undersample_major_bins|scale=False",5,0.04539421424516893,0.02434599043763706,0.9982377314335492
"model=lightgbm|params=n_estimators=300,num_leaves=31,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=undersample_major_bins|scale=False",0,0.8455923116471985,0.6431903466996508,-0.3941539479509433
"model=lightgbm|params=n_estimators=300,num_leaves=31,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=undersample_major_bins|scale=True",1,0.04557727327484025,0.025898848068389328,0.9982234492976347
"model=lightgbm|params=n_estimators=300,num_leaves=31,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=undersample_major_bins|scale=True",2,0.0483316681229625,0.02591872924447361,0.9979940008390888
"model=lightgbm|params=n_estimators=300,num_leaves=31,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=undersample_major_bins|scale=True",3,0.05592567010218583,0.025670678160037146,0.9973184166944896
"model=lightgbm|params=n_estimators=300,num_leaves=31,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=undersample_major_bins|scale=True",4,0.04595343498813244,0.02427706958677923,0.9981949517572645
"model=lightgbm|params=n_estimators=300,num_leaves=31,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=undersample_major_bins|scale=True",5,0.04457558565711786,0.023952263437005718,0.9983007189884997
"model=lightgbm|params=n_estimators=300,num_leaves=31,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=undersample_major_bins|scale=True",0,0.8399508218316116,0.6361800052113415,-0.37561340872327986
"model=lightgbm|params=n_estimators=300,num_leaves=31,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=iqr_clip|sampling=none|scale=False",1,0.0447441102100685,0.025627037392608156,0.9982878071462783
"model=lightgbm|params=n_estimators=300,num_leaves=31,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=iqr_clip|sampling=none|scale=False",2,0.047610057953529204,0.026394216849387146,0.9980534543286516
"model=lightgbm|params=n_estimators=300,num_leaves=31,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=iqr_clip|sampling=none|scale=False",3,0.05866706061579285,0.026650861307727435,0.9970490791636177
"model=lightgbm|params=n_estimators=300,num_leaves=31,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=iqr_clip|sampling=none|scale=False",4,0.044887934430440014,0.024055546444909755,0.9982776869355633
