exp_id,fold,rmse,mae,r2
model=ridge|params=alpha=1.0|impute=median|outlier=none|sampling=none|scale=True,1,0.5207871758930451,0.3829700686979983,0.6925080896390121
model=ridge|params=alpha=1.0|impute=median|outlier=none|sampling=none|scale=True,2,0.5280476249768924,0.3950592535401607,0.6835603172698578
model=ridge|params=alpha=1.0|impute=median|outlier=none|sampling=none|scale=True,3,0.5205062914983618,0.3867683576876367,0.6888867939438547
model=ridge|params=alpha=1.0|impute=median|outlier=none|sampling=none|scale=True,4,0.5216780695818384,0.38277116858177507,0.6894040550396094
model=ridge|params=alpha=1.0|impute=median|outlier=none|sampling=none|scale=True,5,0.5436539735191446,0.4008232184215258,0.6599032560407845
model=ridge|params=alpha=1.0|impute=median|outlier=none|sampling=none|scale=True,0,1.1020304341695475,0.9854172156232419,-4.156542212333151
"model=lightgbm|params=n_estimators=80,num_leaves=31,learning_rate=0.08,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=none|scale=False",1,0.04035167262036499,0.022562888651912912,0.9981539807961489
"model=lightgbm|params=n_estimators=80,num_leaves=31,learning_rate=0.08,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=none|scale=False",2,0.04283929766928933,0.023435562180940225,0.9979172869537344
"model=lightgbm|params=n_estimators=80,num_leaves=31,learning_rate=0.08,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=none|scale=False",3,0.0441414381316778,0.024145492575742035,0.9977625185857552
"model=lightgbm|params=n_estimators=80,num_leaves=31,learning_rate=0.08,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=none|scale=False",4,0.04270168503599588,0.02205425977316413,0.9979189589505236
"model=lightgbm|params=n_estimators=80,num_leaves=31,learning_rate=0.08,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=none|scale=False",5,0.048448781156875405,0.02292755513008994,0.9972990095258272
"model=lightgbm|params=n_estimators=80,num_leaves=31,learning_rate=0.08,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=none|scale=False",0,1.0847753408326135,0.9710515783372259,-3.996328779656385
"model=lightgbm|params=n_estimators=80,num_leaves=31,learning_rate=0.08,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=none|scale=True",1,0.0430215180164735,0.02458479201445461,0.9979016178045799
