exp_id,mean_diff_rmse_vs_baseline,ttest_pvalue,wilcoxon_pvalue,is_significant_0_05
model=ridge|params=alpha=0.1|impute=knn|outlier=quantile_1_99|sampling=none|scale=True,-0.003523197763844954,5.726152712242367e-05,0.03125,True
model=ridge|params=alpha=0.1|impute=knn|outlier=quantile_1_99|sampling=undersample_major_bins|scale=True,-0.003523197763844954,5.726152712242367e-05,0.03125,True
model=ridge|params=alpha=0.1|impute=median|outlier=quantile_1_99|sampling=none|scale=True,-0.003523197763844954,5.726152712242367e-05,0.03125,True
model=ridge|params=alpha=0.1|impute=median|outlier=quantile_1_99|sampling=undersample_major_bins|scale=True,-0.003523197763844954,5.726152712242367e-05,0.03125,True
model=ridge|params=alpha=0.1|impute=knn|outlier=quantile_1_99|sampling=undersample_major_bins|scale=False,-0.0034947253528895715,4.08271865732379e-05,0.03125,True
model=ridge|params=alpha=0.1|impute=median|outlier=quantile_1_99|sampling=none|scale=False,-0.0034947253528895715,4.08271865732379e-05,0.03125,True
model=ridge|params=alpha=0.1|impute=median|outlier=quantile_1_99|sampling=undersample_major_bins|scale=False,-0.0034947253528895715,4.08271865732379e-05,0.03125,True
model=ridge|params=alpha=0.1|impute=knn|outlier=quantile_1_99|sampling=none|scale=False,-0.0034947253528895715,4.08271865732379e-05,0.03125,True
model=ridge|params=alpha=0.1|impute=knn|outlier=quantile_1_99|sampling=target_bin_weighted|scale=True,-0.0034765741633963733,0.00010143709765416852,0.03125,True
model=ridge|params=alpha=0.1|impute=median|outlier=quantile_1_99|sampling=target_bin_weighted|scale=True,-0.0034765741633963733,0.00010143709765416852,0.03125,True
model=ridge|params=alpha=0.1|impute=median|outlier=quantile_1_99|sampling=target_bin_weighted|scale=False,-0.003448695727949902,7.843640944134874e-05,0.03125,True
model=ridge|params=alpha=0.1|impute=knn|outlier=quantile_1_99|sampling=target_bin_weighted|scale=False,-0.003448695727949902,7.843640944134874e-05,0.03125,True
model=ridge|params=alpha=0.1|impute=knn|outlier=iqr_clip|sampling=none|scale=True,-0.003292622906849929,0.005718521090349078,0.03125,True
model=ridge|params=alpha=0.1|impute=knn|outlier=iqr_clip|sampling=undersample_major_bins|scale=True,-0.003292622906849929,0.005718521090349078,0.03125,True
model=ridge|params=alpha=0.1|impute=median|outlier=iqr_clip|sampling=undersample_major_bins|scale=True,-0.003292622906849929,0.005718521090349078,0.03125,True
model=ridge|params=alpha=0.1|impute=median|outlier=iqr_clip|sampling=none|scale=True,-0.003292622906849929,0.005718521090349078,0.03125,True
model=ridge|params=alpha=0.1|impute=knn|outlier=iqr_clip|sampling=target_bin_weighted|scale=True,-0.003238572478043755,0.006014326223720892,0.03125,True
model=ridge|params=alpha=0.1|impute=median|outlier=iqr_clip|sampling=target_bin_weighted|scale=True,-0.003238572478043755,0.006014326223720892,0.03125,True
model=ridge|params=alpha=0.1|impute=knn|outlier=iqr_clip|sampling=undersample_major_bins|scale=False,-0.0031307867050249794,0.007113504931215664,0.03125,True
model=ridge|params=alpha=0.1|impute=knn|outlier=iqr_clip|sampling=none|scale=False,-0.0031307867050249794,0.007113504931215664,0.03125,True
model=ridge|params=alpha=0.1|impute=median|outlier=iqr_clip|sampling=undersample_major_bins|scale=False,-0.0031307867050249794,0.007113504931215664,0.03125,True
model=ridge|params=alpha=0.1|impute=median|outlier=iqr_clip|sampling=none|scale=False,-0.0031307867050249794,0.007113504931215664,0.03125,True
model=ridge|params=alpha=0.1|impute=knn|outlier=iqr_clip|sampling=target_bin_weighted|scale=False,-0.0030787754209507857,0.007497188739112511,0.03125,True
model=ridge|params=alpha=0.1|impute=median|outlier=iqr_clip|sampling=target_bin_weighted|scale=False,-0.0030787754209507857,0.007497188739112511,0.03125,True
model=ridge|params=alpha=1.0|impute=median|outlier=none|sampling=none|scale=True,0.0,1.0,1.0,False
model=ridge|params=alpha=1.0|impute=median|outlier=none|sampling=target_bin_weighted|scale=True,4.665668448959881e-05,0.7710355286141911,0.84375,False
model=ridge|params=alpha=1.0|impute=median|outlier=none|sampling=none|scale=False,6.166705650327842e-05,0.9631910860924647,0.96875,False
model=ridge|params=alpha=0.1|impute=knn|outlier=none|sampling=none|scale=True,8.491772497480899e-05,0.9945634943288607,1.0,False
model=ridge|params=alpha=0.1|impute=median|outlier=none|sampling=none|scale=True,8.491772497480899e-05,0.9945634943288607,1.0,False
model=ridge|params=alpha=0.1|impute=knn|outlier=none|sampling=undersample_major_bins|scale=True,8.491772497480899e-05,0.9945634943288607,1.0,False
model=ridge|params=alpha=0.1|impute=median|outlier=none|sampling=undersample_major_bins|scale=True,8.491772497480899e-05,0.9945634943288607,1.0,False
model=ridge|params=alpha=1.0|impute=median|outlier=none|sampling=target_bin_weighted|scale=False,0.00010811172239628686,0.939524419429938,0.96875,False
model=ridge|params=alpha=0.1|impute=knn|outlier=none|sampling=none|scale=False,0.00011045752531446684,0.992778238523552,1.0,False
model=ridge|params=alpha=0.1|impute=knn|outlier=none|sampling=undersample_major_bins|scale=False,0.00011045752531446684,0.992778238523552,1.0,False
model=ridge|params=alpha=0.1|impute=median|outlier=none|sampling=undersample_major_bins|scale=False,0.00011045752531446684,0.992778238523552,1.0,False
model=ridge|params=alpha=0.1|impute=median|outlier=none|sampling=none|scale=False,0.00011045752531446684,0.992778238523552,1.0,False
model=ridge|params=alpha=0.1|impute=knn|outlier=none|sampling=target_bin_weighted|scale=True,0.00013096862252290898,0.9808053325066046,0.96875,False
