exp_id,fold,rmse,mae,r2
model=ridge|params=alpha=1.0|impute=median|outlier=none|sampling=none|scale=True,1,0.7841157848001001,0.633037160639078,0.4741748902006204
model=ridge|params=alpha=1.0|impute=median|outlier=none|sampling=none|scale=True,2,0.7670514824793409,0.6207680851521505,0.49473850245690965
model=ridge|params=alpha=1.0|impute=median|outlier=none|sampling=none|scale=True,3,0.7731846778838106,0.6240131972896831,0.48745101441670813
model=ridge|params=alpha=1.0|impute=median|outlier=none|sampling=none|scale=True,4,0.7685107753527122,0.6212780577226457,0.49516114204947437
model=ridge|params=alpha=1.0|impute=median|outlier=none|sampling=none|scale=True,5,0.7818253200464883,0.6292592659159663,0.47725420103176375
model=ridge|params=alpha=1.0|impute=median|outlier=none|sampling=none|scale=True,0,1.1372797775187822,0.9516789596306047,-1.5218736004320172
"model=xgboost|params=n_estimators=300,max_depth=6,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=none|scale=False",1,0.04113452264877594,0.024185863207083384,0.9985529156334664
"model=xgboost|params=n_estimators=300,max_depth=6,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=none|scale=False",2,0.04261641430987231,0.023120632200767734,0.9984403721218036
"model=xgboost|params=n_estimators=300,max_depth=6,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=none|scale=False",3,0.050694873124169655,0.023074852437575077,0.9977965815525893
"model=xgboost|params=n_estimators=300,max_depth=6,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=none|scale=False",4,0.04716233986405351,0.024894398348479497,0.998098731116634
"model=xgboost|params=n_estimators=300,max_depth=6,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=none|scale=False",5,0.04438361815313385,0.025430387659790988,0.9983153235894199
"model=xgboost|params=n_estimators=300,max_depth=6,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=none|scale=False",0,0.7505086887721956,0.5521181591018041,-0.09824726587253596
"model=xgboost|params=n_estimators=300,max_depth=6,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=none|scale=True",1,0.04111370481390118,0.023783992125651188,0.9985543799772053
"model=xgboost|params=n_estimators=300,max_depth=6,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=none|scale=True",2,0.042632167122726744,0.02300206753926224,0.9984392189010428
"model=xgboost|params=n_estimators=300,max_depth=6,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=none|scale=True",3,0.05082114187651861,0.02371478681873896,0.9977855915106267
"model=xgboost|params=n_estimators=300,max_depth=6,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=none|scale=True",4,0.04538273481696311,0.023515724886445457,0.9982395074962943
"model=xgboost|params=n_estimators=300,max_depth=6,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=none|scale=True",5,0.043574931333890024,0.024550178026354903,0.9983761552276167
"model=xgboost|params=n_estimators=300,max_depth=6,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=none|scale=True",0,0.7440575210182404,0.5486084912323952,-0.07944794432521696
"model=xgboost|params=n_estimators=300,max_depth=6,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=target_bin_weighted|scale=False",1,0.04121998606304747,0.0239260802909355,0.9985468962980028
"model=xgboost|params=n_estimators=300,max_depth=6,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=target_bin_weighted|scale=False",2,0.044748985489397576,0.022949735994491852,0.998280375732454
"model=xgboost|params=n_estimators=300,max_depth=6,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=target_bin_weighted|scale=False",3,0.051503222398142645,0.023656142745600045,0.9977257526104488
"model=xgboost|params=n_estimators=300,max_depth=6,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=target_bin_weighted|scale=False",4,0.042724803636179705,0.023096512083285316,0.9984396824115765
"model=xgboost|params=n_estimators=300,max_depth=6,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=target_bin_weighted|scale=False",5,0.043310190480813984,0.024187813740229915,0.9983958267271548
"model=xgboost|params=n_estimators=300,max_depth=6,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=target_bin_weighted|scale=False",0,0.7474418695334238,0.5393571615537007,-0.0892900232105791
"model=xgboost|params=n_estimators=300,max_depth=6,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=target_bin_weighted|scale=True",1,0.04043848408570656,0.023517005712939618,0.9986014736233412
"model=xgboost|params=n_estimators=300,max_depth=6,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=target_bin_weighted|scale=True",2,0.04599661821390709,0.02412707052389488,0.9981831503792897
"model=xgboost|params=n_estimators=300,max_depth=6,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=target_bin_weighted|scale=True",3,0.05229796861045552,0.024396725676092173,0.9976550232544867
"model=xgboost|params=n_estimators=300,max_depth=6,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=target_bin_weighted|scale=True",4,0.04281899995335316,0.02363174823730223,0.9984327946939637
"model=xgboost|params=n_estimators=300,max_depth=6,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=target_bin_weighted|scale=True",5,0.043412162450654816,0.023658294563422687,0.9983882639213286
"model=xgboost|params=n_estimators=300,max_depth=6,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=target_bin_weighted|scale=True",0,0.7491676953009047,0.5375699597501755,-0.09432612091445192
"model=xgboost|params=n_estimators=300,max_depth=6,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=undersample_major_bins|scale=False",1,0.04113452264877594,0.024185863207083384,0.9985529156334664
"model=xgboost|params=n_estimators=300,max_depth=6,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=undersample_major_bins|scale=False",2,0.04261641430987231,0.023120632200767734,0.9984403721218036
"model=xgboost|params=n_estimators=300,max_depth=6,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=undersample_major_bins|scale=False",3,0.050694873124169655,0.023074852437575077,0.9977965815525893
"model=xgboost|params=n_estimators=300,max_depth=6,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=undersample_major_bins|scale=False",4,0.04716233986405351,0.024894398348479497,0.998098731116634
"model=xgboost|params=n_estimators=300,max_depth=6,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=undersample_major_bins|scale=False",5,0.04438361815313385,0.025430387659790988,0.9983153235894199
"model=xgboost|params=n_estimators=300,max_depth=6,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=undersample_major_bins|scale=False",0,0.7505086887721956,0.5521181591018041,-0.09824726587253596
"model=xgboost|params=n_estimators=300,max_depth=6,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=undersample_major_bins|scale=True",1,0.04111370481390118,0.023783992125651188,0.9985543799772053
"model=xgboost|params=n_estimators=300,max_depth=6,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=undersample_major_bins|scale=True",2,0.042632167122726744,0.02300206753926224,0.9984392189010428
"model=xgboost|params=n_estimators=300,max_depth=6,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=undersample_major_bins|scale=True",3,0.05082114187651861,0.02371478681873896,0.9977855915106267
"model=xgboost|params=n_estimators=300,max_depth=6,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=undersample_major_bins|scale=True",4,0.04538273481696311,0.023515724886445457,0.9982395074962943
"model=xgboost|params=n_estimators=300,max_depth=6,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=undersample_major_bins|scale=True",5,0.043574931333890024,0.024550178026354903,0.9983761552276167
"model=xgboost|params=n_estimators=300,max_depth=6,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=undersample_major_bins|scale=True",0,0.7440575210182404,0.5486084912323952,-0.07944794432521696
"model=xgboost|params=n_estimators=300,max_depth=6,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=iqr_clip|sampling=none|scale=False",1,0.03970533227607018,0.022750218540933113,0.9986517246406295
"model=xgboost|params=n_estimators=300,max_depth=6,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=iqr_clip|sampling=none|scale=False",2,0.04384480528580709,0.02282427380979635,0.9983491657557768
"model=xgboost|params=n_estimators=300,max_depth=6,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=iqr_clip|sampling=none|scale=False",3,0.05078668666004825,0.023966237032904035,0.9977885930984377
"model=xgboost|params=n_estimators=300,max_depth=6,learning_rate=0.05,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=iqr_clip|sampling=none|scale=False",4,0.04379673962099743,0.02328232092623485,0.9983604056390817
