exp_id,fold,rmse,mae,r2
model=ridge|params=alpha=1.0|impute=median|outlier=none|sampling=none|scale=True,1,0.5207871758930451,0.3829700686979983,0.6925080896390121
model=ridge|params=alpha=1.0|impute=median|outlier=none|sampling=none|scale=True,2,0.5280476249768924,0.3950592535401607,0.6835603172698578
model=ridge|params=alpha=1.0|impute=median|outlier=none|sampling=none|scale=True,3,0.5205062914983618,0.3867683576876367,0.6888867939438547
model=ridge|params=alpha=1.0|impute=median|outlier=none|sampling=none|scale=True,4,0.5216780695818384,0.38277116858177507,0.6894040550396094
model=ridge|params=alpha=1.0|impute=median|outlier=none|sampling=none|scale=True,5,0.5436539735191446,0.4008232184215258,0.6599032560407845
model=ridge|params=alpha=1.0|impute=median|outlier=none|sampling=none|scale=True,0,1.1020304341695475,0.9854172156232419,-4.156542212333151
"model=xgboost|params=n_estimators=80,max_depth=4,learning_rate=0.08,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=none|scale=False",1,0.15962451048467072,0.11531618544912661,0.9711123450051333
"model=xgboost|params=n_estimators=80,max_depth=4,learning_rate=0.08,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=none|scale=False",2,0.1583074584098923,0.11439519485497587,0.9715588268666475
"model=xgboost|params=n_estimators=80,max_depth=4,learning_rate=0.08,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=none|scale=False",3,0.16308585811664242,0.11687205299044914,0.9694578865570662
"model=xgboost|params=n_estimators=80,max_depth=4,learning_rate=0.08,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=none|scale=False",4,0.15784221287538303,0.1119980116444142,0.971566066528719
"model=xgboost|params=n_estimators=80,max_depth=4,learning_rate=0.08,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=none|scale=False",5,0.16605699697330772,0.11781291776093582,0.9682698810376223
"model=xgboost|params=n_estimators=80,max_depth=4,learning_rate=0.08,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=none|scale=False",0,0.7137659652009724,0.6093065294480323,-1.1631322465562075
"model=xgboost|params=n_estimators=80,max_depth=4,learning_rate=0.08,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=none|scale=True",1,0.15727088329076686,0.11245008932776482,0.9719579484267753
