exp_id,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,test_rmse,test_mae,test_r2
"model=xgboost|params=n_estimators=80,max_depth=4,learning_rate=0.08,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=iqr_clip|sampling=threshold_weighted|scale=True|target_transform=none",1.3227161785933617,0.4111981919112979,1.110237422801604,0.35779564342695336,-7.335167259043823,8.554283864774565,1.3012883962483741,1.0649898404836655,-2.301686211322873
"model=xgboost|params=n_estimators=80,max_depth=4,learning_rate=0.08,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=iqr_clip|sampling=threshold_weighted|scale=False|target_transform=none",1.3243425166253417,0.4134368834441063,1.1107068267294646,0.3644209199523042,-7.446049530069722,8.87778767847446,1.3028867527127053,1.0647518255472184,-2.309802033331254
"model=xgboost|params=n_estimators=80,max_depth=4,learning_rate=0.08,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=threshold_weighted|scale=True|target_transform=none",1.3273798314440357,0.42042036605449457,1.1125642611340265,0.37946877434007104,-7.38133481828603,8.905932806551789,1.2830488067163244,1.0445176710907618,-2.209778294634673
"model=xgboost|params=n_estimators=80,max_depth=4,learning_rate=0.08,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=threshold_weighted|scale=False|target_transform=none",1.3311162003005932,0.4088642365545629,1.1182589981030282,0.3673610927149015,-7.409195592314004,8.699763105090849,1.3014066919959406,1.0662900974957148,-2.3022865289660244
"model=xgboost|params=n_estimators=80,max_depth=4,learning_rate=0.08,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=quantile_1_99|sampling=threshold_weighted|scale=False|target_transform=none",1.3411952800157343,0.45852312273858886,1.1125638863851808,0.4021948534049065,-7.472283714749483,9.087892749391601,1.332105074052477,1.1059959469397864,-2.4599167307736547
"model=xgboost|params=n_estimators=80,max_depth=4,learning_rate=0.08,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=quantile_1_99|sampling=none|scale=True|target_transform=none",1.4109831201065304,0.41502624498656365,1.1866297916480977,0.37583367747309443,-7.911215215931714,9.377079002148212,1.3126689214037799,1.086152886710167,-2.3596890804613864
"model=xgboost|params=n_estimators=80,max_depth=4,learning_rate=0.08,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=none|scale=True|target_transform=none",1.4462126951631509,0.38372653962697395,1.1912827998440627,0.3695817114095951,-8.114532917241526,8.554753491307947,1.2579135415997202,1.0426408426761626,-2.08524932869078
"model=xgboost|params=n_estimators=80,max_depth=4,learning_rate=0.08,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=none|scale=False|target_transform=none",1.4506244493369538,0.3975637762862217,1.1976710303714637,0.39740390259841474,-8.41671403030587,9.296623322495579,1.2447359628675876,1.0364490996599198,-2.020947350704828
"model=xgboost|params=n_estimators=80,max_depth=4,learning_rate=0.08,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=iqr_clip|sampling=none|scale=False|target_transform=none",1.4575223383139144,0.39486313405812656,1.1991689389518312,0.385490355985715,-8.558431446368399,9.495699897427313,1.2375772394214877,1.0229947026411692,-1.9862991374289933
"model=xgboost|params=n_estimators=80,max_depth=4,learning_rate=0.08,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=iqr_clip|sampling=none|scale=True|target_transform=none",1.4594754686128415,0.37628941866960236,1.2006630108862928,0.3624547413215574,-8.4138133094383,8.887019316969521,1.2511471830553746,1.0400286974986395,-2.05214728092463
"model=xgboost|params=n_estimators=80,max_depth=4,learning_rate=0.08,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=quantile_1_99|sampling=none|scale=False|target_transform=none",1.4728284757709154,0.4362860543317536,1.2463141975239445,0.4119956408251767,-8.555781902916573,10.112082164918842,1.3515254386022812,1.1311091940482458,-2.561534295047844
model=ridge|params=alpha=1.0|impute=median|outlier=none|sampling=none|scale=True|target_transform=none,3.9673692269326915,3.3973684536354742,3.5037996137930705,2.9923939582201795,-67.20094935180792,79.17144034558174,2.6658246754503194,2.1218399571189317,-12.856445848113601
