exp_id,mean_diff_rmse_vs_baseline,ttest_pvalue,wilcoxon_pvalue,is_significant_0_05
"model=xgboost|params=n_estimators=80,max_depth=4,learning_rate=0.08,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=iqr_clip|sampling=threshold_weighted|scale=True|target_transform=none",-2.64465304833933,0.07442585750186975,0.03125,True
"model=xgboost|params=n_estimators=80,max_depth=4,learning_rate=0.08,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=iqr_clip|sampling=threshold_weighted|scale=False|target_transform=none",-2.6430267103073497,0.0744971394826029,0.03125,True
"model=xgboost|params=n_estimators=80,max_depth=4,learning_rate=0.08,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=threshold_weighted|scale=True|target_transform=none",-2.639989395488656,0.07492715698553162,0.03125,True
"model=xgboost|params=n_estimators=80,max_depth=4,learning_rate=0.08,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=threshold_weighted|scale=False|target_transform=none",-2.6362530266320983,0.07552853731102185,0.03125,True
"model=xgboost|params=n_estimators=80,max_depth=4,learning_rate=0.08,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=quantile_1_99|sampling=threshold_weighted|scale=False|target_transform=none",-2.6261739469169574,0.07450486327724096,0.03125,True
"model=xgboost|params=n_estimators=80,max_depth=4,learning_rate=0.08,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=quantile_1_99|sampling=none|scale=True|target_transform=none",-2.556386106826161,0.07922305478357346,0.03125,True
"model=xgboost|params=n_estimators=80,max_depth=4,learning_rate=0.08,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=none|scale=True|target_transform=none",-2.521156531769541,0.08456213022135357,0.03125,True
"model=xgboost|params=n_estimators=80,max_depth=4,learning_rate=0.08,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=none|sampling=none|scale=False|target_transform=none",-2.5167447775957377,0.08519493822364413,0.03125,True
"model=xgboost|params=n_estimators=80,max_depth=4,learning_rate=0.08,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=iqr_clip|sampling=none|scale=False|target_transform=none",-2.5098468886187772,0.08528210157447239,0.03125,True
"model=xgboost|params=n_estimators=80,max_depth=4,learning_rate=0.08,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=iqr_clip|sampling=none|scale=True|target_transform=none",-2.5078937583198497,0.08560999130132545,0.03125,True
"model=xgboost|params=n_estimators=80,max_depth=4,learning_rate=0.08,subsample=0.9,colsample_bytree=0.9|impute=median|outlier=quantile_1_99|sampling=none|scale=False|target_transform=none",-2.494540751161776,0.08035104828512765,0.03125,True
model=ridge|params=alpha=1.0|impute=median|outlier=none|sampling=none|scale=True|target_transform=none,0.0,1.0,1.0,False
